x[m]	y[m]	φ []	R[m]	Δz[m]
2.6973e-06	-1.01898e-06	0.361204	2.88336e-06	-1.55472e-09
1.93307e-06	-1.37862e-06	0.619516	2.37431e-06	-3.28109e-09
1.16883e-06	6.44356e-07	-0.503827	1.33468e-06	-4.16446e-11
2.81718e-06	-1.16883e-06	0.393279	3.05003e-06	-4.5173e-09
2.02298e-06	3.16184e-06	-1.00162	3.75362e-06	-3.4055e-09
7.34266e-07	-4.4955e-07	0.549374	8.60954e-07	1.03635e-09
1.48352e-06	5.54446e-07	-0.357663	1.58374e-06	4.20599e-09
1.81319e-06	-5.54446e-07	0.296756	1.89606e-06	-1.35612e-09
1.40859e-06	-6.29371e-07	0.420197	1.5428e-06	2.62702e-10
3.44655e-07	-4.7952e-07	0.947597	5.90531e-07	-1.62215e-09
1.64835e-07	4.34565e-07	-1.20825	4.64777e-07	-2.88404e-09
4.3007e-06	9.89011e-07	-0.226035	4.41295e-06	-2.66459e-10